,gender,age_range,age,race,charges,prior_arrest,compas_score,score_numeric
1,Male,Greater than 45,69,Other,Aggravated Assault w/Firearm,0,Low,1
2,Male,25 - 45,31,Caucasian,,0,Medium,2
3,Male,25 - 45,34,African-American,Felony Battery w/Prior Convict,0,Low,1
4,Male,Less than 25,24,African-American,Possession of Cocaine,4,Low,3
5,Male,Less than 25,23,African-American,Possession of Cannabis,1,High,6
6,Male,25 - 45,43,Other,arrest case no charge,2,Low,1
7,Male,25 - 45,44,Other,Battery,0,Low,1
8,Male,25 - 45,41,Caucasian,Possession Burglary Tools,14,Medium,2
9,Male,25 - 45,43,Other,arrest case no charge,3,Low,3
10,Female,25 - 45,39,Caucasian,Battery,0,Low,1
11,Male,Less than 25,20,Caucasian,Possession Of Alprazolam,0,High,9
12,Female,25 - 45,26,Caucasian,Possession Of Alprazolam,0,Medium,3
13,Male,Less than 25,21,Caucasian,Insurance Fraud,1,Low,5
14,Male,25 - 45,27,Caucasian,"Poss 3,4 MDMA (Ecstasy)",0,Low,4
15,Male,Less than 25,23,African-American,Battery,3,Medium,4
16,Female,25 - 45,37,Caucasian,Battery,0,Low,1
17,Male,Less than 25,22,Caucasian,Battery,0,Low,5
18,Male,25 - 45,41,African-American,"Poss3,4 Methylenedioxymethcath",0,Low,2
19,Female,Greater than 45,47,Caucasian,arrest case no charge,1,Low,1
20,Male,25 - 45,31,African-American,Felony Driving While Lic Suspd,7,Low,2
21,Male,25 - 45,37,Hispanic,Battery,0,Low,1
22,Male,25 - 45,25,African-American,Grand Theft in the 3rd Degree,3,High,9
23,Male,25 - 45,31,Caucasian,Driving While License Revoked,6,Medium,4
24,Male,25 - 45,31,Caucasian,Possession Of Heroin,5,Low,2
25,Male,Greater than 45,64,African-American,arrest case no charge,13,Medium,3
26,Male,Less than 25,21,African-American,Battery on Law Enforc Officer,1,High,9
27,Male,25 - 45,27,Caucasian,Possession Of Methamphetamine,0,Low,3
28,Female,Less than 25,21,Caucasian,Introduce Contraband Into Jail,0,Low,5
29,Male,Less than 25,24,African-American,Poss Pyrrolidinovalerophenone,2,N/A,6
30,Male,Less than 25,24,Hispanic,Lewd/Lasc Battery Pers 12+/<16,1,Low,5
31,Male,25 - 45,42,Caucasian,Trafficking In Methamphetamine,1,Low,1
32,Male,25 - 45,43,Caucasian,Susp Drivers Lic 1st Offense,1,Low,2
33,Male,25 - 45,32,Other,Battery,0,Low,4
34,Female,Greater than 45,54,African-American,"Poss3,4 Methylenedioxymethcath",0,High,5
35,Male,25 - 45,44,African-American,arrest case no charge,8,Medium,4
36,Female,Greater than 45,49,Caucasian,,0,Low,1
37,Male,25 - 45,27,African-American,Carrying Concealed Firearm,8,Low,3
38,Female,25 - 45,36,Caucasian,arrest case no charge,3,Low,1
39,Male,25 - 45,26,African-American,Pos Cannabis W/Intent Sel/Del,5,Medium,7
40,Male,25 - 45,33,African-American,Tampering With Physical Evidence,0,High,6
41,Male,25 - 45,30,Caucasian,Felony Battery w/Prior Convict,9,High,10
42,Male,25 - 45,32,African-American,Att Tamper w/Physical Evidence,4,High,3
43,Male,Greater than 45,63,African-American,Battery,0,Low,1
44,Male,25 - 45,27,Hispanic,Possession of Cocaine,2,Low,3
45,Male,Greater than 45,55,Caucasian,arrest case no charge,0,Low,1
46,Male,25 - 45,29,Caucasian,,0,High,6
47,Male,25 - 45,32,African-American,Felony Petit Theft,15,High,8
